GroupType,GroupValue,Setting,Answer Rate,Abstain Rate,Correctness,N
variant_type,full_diacritic,Without Gate,0.9411764705882353,0.058823529411764705,0.9411764705882353,34
variant_type,full_diacritic,With Gate,0.9411764705882353,0.058823529411764705,0.9411764705882353,34
variant_type,no_diacritic,Without Gate,0.8484848484848485,0.15151515151515152,0.8484848484848485,33
variant_type,no_diacritic,With Gate,0.7575757575757576,0.24242424242424243,0.7575757575757576,33
variant_type,partial_diacritic,Without Gate,0.7878787878787878,0.21212121212121213,0.30303030303030304,33
variant_type,partial_diacritic,With Gate,0.36363636363636365,0.6363636363636364,0.7272727272727273,33
difficulty,easy,Without Gate,0.9016393442622951,0.09836065573770492,0.9016393442622951,61
difficulty,easy,With Gate,0.8688524590163934,0.13114754098360656,0.8688524590163934,61
difficulty,hard,Without Gate,0.8,0.2,0.2,15
difficulty,hard,With Gate,0.26666666666666666,0.7333333333333333,0.7333333333333333,15
difficulty,medium,Without Gate,0.7916666666666666,0.20833333333333334,0.5,24
difficulty,medium,With Gate,0.5,0.5,0.7083333333333334,24
category,absolute_claim,Without Gate,0.8,0.2,0.2,15
category,absolute_claim,With Gate,0.26666666666666666,0.7333333333333333,0.7333333333333333,15
category,khai_niem,Without Gate,0.8939393939393939,0.10606060606060606,0.8939393939393939,66
category,khai_niem,With Gate,0.8636363636363636,0.13636363636363635,0.8636363636363636,66
category,out_of_scope,Without Gate,0.7333333333333333,0.26666666666666666,0.26666666666666666,15
category,out_of_scope,With Gate,0.3333333333333333,0.6666666666666666,0.6666666666666666,15
category,reverse,Without Gate,1.0,0.0,1.0,2
category,reverse,With Gate,0.5,0.5,0.5,2
category,vi_thuoc,Without Gate,1.0,0.0,1.0,2
category,vi_thuoc,With Gate,1.0,0.0,1.0,2
